Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.2/ 1.2/ -0.9), (-0.6/ 1.0/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.80245
Sad,(-0.2/ 1.1/ -0.9), (-0.6/ 1.0/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.80459
Sad,(-0.3/ 1.0/ -0.8), (-0.5/ 1.1/ -0.4), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.16473
Sad,(-0.3/ 1.0/ -0.9), (-0.4/ 1.1/ -0.3), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.01981
Sad,(-0.3/ 1.1/ -0.9), (-0.5/ 1.0/ -0.4), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.47944
Sad,(-0.3/ 1.1/ -0.9), (-0.6/ 1.0/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.19748
Sad,(-0.2/ 1.1/ -0.9), (-0.6/ 1.0/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.62316
Sad,(-0.2/ 1.1/ -0.8), (-0.6/ 1.0/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.06403
Sad,(-0.2/ 1.1/ -0.8), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.17339
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.1/ -0.5), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.39873
Sad,(-0.2/ 1.1/ -0.8), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.8), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.58467
Sad,(-0.3/ 1.0/ -0.8), (-0.4/ 1.1/ -0.3), (-0.2/ 0.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.28219
Sad,(-0.3/ 1.0/ -0.7), (-0.3/ 1.1/ -0.3), (-0.2/ 0.1/ -0.7), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.67837
Sad,(-0.3/ 1.0/ -0.8), (-0.3/ 1.2/ -0.3), (-0.2/ 0.1/ -0.7), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.51098
Sad,(-0.3/ 1.1/ -0.8), (-0.4/ 1.1/ -0.3), (-0.2/ 0.1/ -0.7), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.25319
Sad,(-0.3/ 1.1/ -0.9), (-0.6/ 1.1/ -0.5), (-0.2/ 0.1/ -0.7), (-0.2/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.46926
Sad,(-0.2/ 1.2/ -0.9), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,35.26276
Sad,(-0.2/ 1.1/ -0.9), (-0.6/ 1.1/ -0.5), (-0.2/ 0.1/ -0.7), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.29347
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.1/ -0.5), (-0.2/ 0.1/ -0.7), (-0.1/ 0.1/ -0.7), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.22451
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.1/ -0.6), (-0.2/ 0.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.50229
Sad,(-0.3/ 1.1/ -0.8), (-0.6/ 1.1/ -0.6), (-0.3/ 0.1/ -0.7), (-0.1/ 0.1/ -0.6), (-0.2/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.86845
