Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.7/ 1.1/ -1.5), (-1.0/ 1.1/ -1.1), (-0.5/ 0.1/ -1.3), (-0.5/ 0.1/ -1.2), (-0.6/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.70052
Sad,(-0.7/ 1.1/ -1.6), (-1.0/ 1.1/ -1.2), (-0.5/ 0.1/ -1.3), (-0.5/ 0.1/ -1.2), (-0.6/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.67145
Sad,(-0.8/ 1.1/ -1.5), (-0.9/ 1.1/ -1.1), (-0.5/ 0.1/ -1.3), (-0.5/ 0.1/ -1.2), (-0.6/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.67193
Sad,(-0.9/ 1.1/ -1.4), (-0.7/ 1.1/ -0.9), (-0.6/ 0.1/ -1.2), (-0.5/ 0.1/ -1.2), (-0.6/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,56.38517
Sad,(-0.9/ 1.1/ -1.3), (-0.7/ 1.1/ -0.8), (-0.7/ 0.1/ -1.1), (-0.5/ 0.1/ -1.2), (-0.7/ 1.5/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,51.82029
Sad,(-0.9/ 1.1/ -1.0), (-0.6/ 1.1/ -0.6), (-0.7/ 0.1/ -1.1), (-0.5/ 0.1/ -1.2), (-0.6/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.30212
Sad,(-0.9/ 1.1/ -0.9), (-0.5/ 1.1/ -0.5), (-0.7/ 0.1/ -1.1), (-0.6/ 0.1/ -0.9), (-0.6/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.20855
Sad,(-1.0/ 1.1/ -0.8), (-0.7/ 1.1/ -0.4), (-0.7/ 0.1/ -1.0), (-0.6/ 0.1/ -0.8), (-0.8/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.84995
Sad,(-1.1/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.7/ 0.1/ -0.8), (-0.6/ 0.1/ -0.8), (-0.8/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.68753
Sad,(-1.0/ 1.1/ -1.0), (-1.0/ 1.1/ -0.5), (-0.9/ 0.1/ -0.7), (-0.6/ 0.1/ -0.8), (-0.8/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.89362
Sad,(-1.0/ 1.1/ -0.9), (-1.2/ 1.1/ -0.4), (-0.9/ 0.1/ -0.7), (-0.6/ 0.1/ -0.7), (-0.8/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.26889
