Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.2/ 1.2/ -1.9), (-1.5/ 1.2/ -1.4), (-1.5/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.0493
Sad,(-1.3/ 1.2/ -1.8), (-1.5/ 1.1/ -1.3), (-1.5/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2072
Sad,(-1.3/ 1.2/ -1.8), (-1.5/ 1.1/ -1.3), (-1.5/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.7016
Sad,(-1.3/ 1.2/ -1.8), (-1.4/ 1.1/ -1.3), (-1.5/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.3548
Sad,(-1.4/ 1.2/ -1.9), (-1.4/ 1.1/ -1.3), (-1.5/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.9207
Sad,(-1.4/ 1.2/ -1.9), (-1.4/ 1.1/ -1.3), (-1.5/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.617
Sad,(-1.4/ 1.2/ -1.8), (-1.4/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.651
Sad,(-1.4/ 1.2/ -1.8), (-1.4/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.5384
Sad,(-1.4/ 1.2/ -1.9), (-1.5/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.9272
Sad,(-1.3/ 1.2/ -1.9), (-1.5/ 1.2/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.0639
Sad,(-1.2/ 1.2/ -1.9), (-1.4/ 1.2/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.3313
Sad,(-1.2/ 1.2/ -1.8), (-1.4/ 1.2/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.4163
Sad,(-1.2/ 1.2/ -1.8), (-1.3/ 1.2/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.61507
Sad,(-1.2/ 1.2/ -1.8), (-1.3/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.00011
Sad,(-1.1/ 1.2/ -1.8), (-1.3/ 1.2/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.77258
Sad,(-1.1/ 1.2/ -1.8), (-1.4/ 1.2/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.94432
Sad,(-1.2/ 1.2/ -1.8), (-1.3/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.96257
Sad,(-1.2/ 1.2/ -1.8), (-1.3/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.01395
Sad,(-1.2/ 1.2/ -1.8), (-1.3/ 1.2/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.29773
Sad,(-1.3/ 1.2/ -1.8), (-1.3/ 1.2/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.9726
Sad,(-1.4/ 1.2/ -1.8), (-1.4/ 1.2/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.6453
Sad,(-1.4/ 1.2/ -1.8), (-1.4/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.3783
Sad,(-1.4/ 1.2/ -1.8), (-1.5/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.3823
Sad,(-1.3/ 1.4/ -1.9), (-1.7/ 1.3/ -1.6), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.9992
Sad,(-1.3/ 1.4/ -1.8), (-1.7/ 1.4/ -1.7), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.2312
Sad,(-1.3/ 1.4/ -1.8), (-1.7/ 1.4/ -1.7), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.4938
Sad,(-1.3/ 1.4/ -1.8), (-1.7/ 1.4/ -1.7), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.5133
Sad,(-1.3/ 1.4/ -1.8), (-1.7/ 1.4/ -1.7), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.4427
Sad,(-1.3/ 1.2/ -1.8), (-1.6/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.8608
Sad,(-1.3/ 1.1/ -1.8), (-1.5/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.585
Sad,(-1.2/ 1.1/ -1.8), (-1.4/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.4/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.03036
Sad,(-1.2/ 1.2/ -1.8), (-1.4/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,98.88516
Sad,(-1.3/ 1.2/ -1.8), (-1.5/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.6), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.5351
Sad,(-1.3/ 1.2/ -1.8), (-1.5/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.8327
Sad,(-1.3/ 1.2/ -1.8), (-1.6/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.144
Sad,(-1.3/ 1.2/ -1.8), (-1.6/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.9685
Sad,(-1.3/ 1.2/ -1.8), (-1.6/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.9497
Sad,(-1.3/ 1.1/ -1.8), (-1.5/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.766
Sad,(-1.3/ 1.1/ -1.8), (-1.6/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.3755
Sad,(-1.3/ 1.2/ -1.8), (-1.5/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.7428
Sad,(-1.4/ 1.1/ -1.8), (-1.3/ 1.1/ -1.3), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.7944
Sad,(-1.4/ 1.1/ -1.8), (-1.1/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.93889
Sad,(-1.4/ 1.1/ -1.8), (-1.1/ 1.1/ -1.4), (-1.4/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,99.80589
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.5/ 1.1/ -2.0), (-1.8/ 1.1/ -1.5), (-1.3/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.8226
Sad,(-1.4/ 1.1/ -2.0), (-1.7/ 1.1/ -1.4), (-1.3/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.9205
Sad,(-1.2/ 1.0/ -2.0), (-1.6/ 1.0/ -1.4), (-1.3/ 0.1/ -1.6), (-1.2/ 0.1/ -1.7), (-1.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.2521
Sad,(-1.2/ 1.1/ -2.0), (-1.8/ 1.1/ -1.6), (-1.3/ 0.1/ -1.6), (-1.3/ 0.1/ -1.7), (-1.4/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.7877
