Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.5/ 1.1/ 0.7), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.13832
Disgusted,(0.5/ 1.2/ 0.7), (0.7/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.34681
Disgusted,(0.5/ 1.2/ 0.6), (0.7/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.5079
Disgusted,(0.5/ 1.1/ 0.7), (0.6/ 1.0/ 0.6), (0.6/ 0.1/ 0.7), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,58.25069
Disgusted,(0.5/ 1.2/ 0.7), (0.6/ 1.0/ 0.6), (0.7/ 0.1/ 0.6), (0.5/ 0.1/ 0.8), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,59.90664
Disgusted,(0.6/ 1.2/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.6/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,63.081
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.29737
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,63.98002
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.13609
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.8/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.20268
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.8/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.27058
Disgusted,(0.7/ 1.1/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,64.21314
Disgusted,(0.7/ 1.2/ 0.6), (0.8/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,63.67044
Disgusted,(0.6/ 1.2/ 0.6), (0.7/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.46761
Disgusted,(0.7/ 1.2/ 0.6), (0.7/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.66648
Disgusted,(0.7/ 1.2/ 0.5), (0.7/ 1.0/ 0.5), (0.8/ 0.1/ 0.6), (0.7/ 0.1/ 0.7), (0.7/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,62.5909
