Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.2/ 1.1/ -0.6), (-0.4/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (-0.1/ 0.1/ -0.4), (-0.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.61324
Sad,(-0.2/ 1.1/ -0.7), (-0.5/ 1.1/ -0.2), (-0.1/ 0.1/ -0.3), (-0.2/ 0.1/ -0.4), (-0.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.09174
Sad,(-0.4/ 1.1/ -0.6), (-0.7/ 1.1/ -0.2), (-0.2/ 0.1/ -0.3), (-0.2/ 0.1/ -0.4), (-0.3/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.48344
Sad,(-0.5/ 1.1/ -0.5), (-0.7/ 1.2/ -0.1), (-0.3/ 0.1/ -0.4), (-0.2/ 0.1/ -0.4), (-0.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.02598
Sad,(-0.5/ 1.1/ -0.5), (-0.7/ 1.1/ -0.2), (-0.3/ 0.1/ -0.4), (-0.2/ 0.1/ -0.4), (-0.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.33652
Sad,(-0.5/ 1.1/ -0.6), (-0.7/ 1.1/ -0.2), (-0.3/ 0.1/ -0.4), (-0.2/ 0.1/ -0.4), (-0.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.52356
Sad,(-0.4/ 1.1/ -0.6), (-0.7/ 1.1/ -0.2), (-0.3/ 0.1/ -0.4), (-0.2/ 0.1/ -0.4), (-0.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.57681
Sad,(-0.3/ 1.1/ -0.8), (-0.7/ 1.1/ -0.4), (-0.3/ 0.1/ -0.4), (-0.2/ 0.1/ -0.4), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.50064
Sad,(-0.3/ 1.1/ -0.8), (-0.7/ 1.1/ -0.5), (-0.4/ 0.1/ -0.4), (-0.2/ 0.1/ -0.4), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.99285
Sad,(-0.4/ 1.1/ -0.8), (-0.6/ 1.1/ -0.5), (-0.4/ 0.1/ -0.4), (-0.2/ 0.1/ -0.4), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.04581
Sad,(-0.4/ 1.1/ -0.8), (-0.7/ 1.1/ -0.4), (-0.4/ 0.1/ -0.4), (-0.3/ 0.1/ -0.5), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.01977
Sad,(-0.4/ 1.0/ -0.7), (-0.7/ 1.1/ -0.4), (-0.4/ 0.1/ -0.4), (-0.2/ 0.1/ -0.5), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.14277
Sad,(-0.4/ 1.0/ -0.7), (-0.6/ 1.1/ -0.4), (-0.4/ 0.1/ -0.4), (-0.2/ 0.1/ -0.5), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.144
Sad,(-0.3/ 1.0/ -0.8), (-0.6/ 1.1/ -0.4), (-0.4/ 0.1/ -0.4), (-0.2/ 0.1/ -0.5), (-0.3/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.32025
Sad,(-0.4/ 1.1/ -0.8), (-0.6/ 1.1/ -0.4), (-0.4/ 0.1/ -0.4), (-0.3/ 0.1/ -0.5), (-0.3/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.77945
Sad,(-0.4/ 1.1/ -0.8), (-0.7/ 1.1/ -0.4), (-0.4/ 0.1/ -0.4), (-0.4/ 0.1/ -0.5), (-0.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.79847
Sad,(-0.5/ 1.1/ -0.7), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.76359
Sad,(-0.6/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.05113
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.1844
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.00633
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.03804
Sad,(-0.6/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.52455
Sad,(-0.6/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.10884
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.01986
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.13199
Sad,(-0.6/ 1.1/ -0.9), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.59856
Sad,(-0.6/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.0974
Sad,(-0.6/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.8871
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.38033
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.66419
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.5146
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.26057
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.20103
Sad,(-0.6/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.61849
Sad,(-0.6/ 1.1/ -0.8), (-0.8/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.81423
Sad,(-0.6/ 1.0/ -0.7), (-0.8/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.79697
Sad,(-0.6/ 1.1/ -0.7), (-0.8/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.8958
Sad,(-0.5/ 1.1/ -0.7), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.46124
Sad,(-0.5/ 1.0/ -0.7), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.35169
Sad,(-0.5/ 1.0/ -0.7), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.41824
Sad,(-0.6/ 1.0/ -0.6), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.64158
Sad,(-0.6/ 1.1/ -0.7), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.4), (-0.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.16469
Sad,(-0.6/ 1.0/ -0.7), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.4), (-0.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.33431
Sad,(-0.6/ 1.0/ -0.6), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.4), (-0.6/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.31626
Sad,(-0.6/ 1.0/ -0.6), (-0.9/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.4), (-0.5/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.19168
Sad,(-0.6/ 1.1/ -0.7), (-0.8/ 1.1/ -0.3), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.4), (-0.5/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.36144
Sad,(-0.5/ 1.1/ -0.8), (-0.8/ 1.1/ -0.4), (-0.5/ 0.1/ -0.6), (-0.4/ 0.1/ -0.5), (-0.5/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.15585
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-0.4/ 1.0/ -0.8), (-0.9/ 1.2/ -0.3), (-0.4/ 0.1/ -0.5), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.14211
Sad,(-0.4/ 1.1/ -0.9), (-0.8/ 1.2/ -0.3), (-0.4/ 0.1/ -0.5), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.18027
Sad,(-0.4/ 1.0/ -0.9), (-0.8/ 1.2/ -0.3), (-0.4/ 0.1/ -0.5), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.59575
Sad,(-0.4/ 1.0/ -0.9), (-0.8/ 1.2/ -0.3), (-0.4/ 0.1/ -0.5), (-0.3/ 0.1/ -0.5), (-0.4/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,34.14337
