Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.2/ 1.1/ -0.2), (-2.7/ 1.1/ 0.2), (-2.4/ 0.1/ -0.1), (-2.3/ 0.1/ 0.3), (-2.3/ 1.4/ 0.1), (-0.8/ 0.5/ 0.0), 0.3333333, 0.3333333,149.246
Sad,(-2.0/ 1.1/ -0.4), (-2.6/ 1.1/ 0.0), (-2.4/ 0.1/ -0.1), (-2.2/ 0.1/ 0.1), (-2.2/ 1.5/ -0.1), (-0.8/ 0.6/ 0.0), 0.3333333, 0.3333333,138.5655
Sad,(-1.9/ 1.1/ -0.4), (-2.6/ 1.1/ -0.2), (-2.3/ 0.1/ -0.1), (-2.2/ 0.1/ -0.4), (-2.2/ 1.5/ -0.2), (-0.8/ 0.6/ -0.1), 0.3333333, 0.3333333,133.8058
Sad,(-2.0/ 1.1/ -0.8), (-2.7/ 1.1/ -0.5), (-2.3/ 0.2/ -0.4), (-2.1/ 0.1/ -0.4), (-2.2/ 1.5/ -0.5), (-0.8/ 0.5/ -0.2), 0.3333333, 0.3333333,133.8785
Sad,(-2.1/ 1.1/ -1.1), (-2.7/ 1.1/ -0.7), (-2.4/ 0.1/ -1.0), (-2.2/ 0.1/ -0.5), (-2.3/ 1.4/ -0.8), (-0.8/ 0.5/ -0.3), 0.3333333, 0.3333333,140.1288
Sad,(-2.3/ 1.1/ -1.5), (-2.7/ 1.1/ -0.9), (-2.4/ 0.1/ -1.0), (-2.4/ 0.1/ -1.2), (-2.4/ 1.5/ -1.1), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,152.2101
Sad,(-2.5/ 1.1/ -1.7), (-2.9/ 1.1/ -1.1), (-2.5/ 0.2/ -1.2), (-2.5/ 0.1/ -1.4), (-2.5/ 1.5/ -1.4), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,167.9663
Sad,(-2.5/ 1.1/ -1.8), (-2.8/ 1.1/ -1.1), (-2.5/ 0.1/ -1.3), (-2.5/ 0.1/ -1.4), (-2.5/ 1.5/ -1.4), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,165.9346
Sad,(-2.4/ 1.1/ -1.7), (-2.7/ 1.1/ -1.1), (-2.5/ 0.1/ -1.3), (-2.2/ 0.1/ -1.3), (-2.4/ 1.5/ -1.4), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,157.7056
Sad,(-2.3/ 1.1/ -1.5), (-2.6/ 1.1/ -0.9), (-2.5/ 0.1/ -1.3), (-2.1/ 0.1/ -1.0), (-2.3/ 1.4/ -1.2), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,147.5705
Sad,(-2.2/ 1.1/ -1.4), (-2.5/ 1.1/ -0.8), (-2.2/ 0.2/ -1.0), (-2.1/ 0.1/ -1.0), (-2.2/ 1.5/ -1.1), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,137.799
Sad,(-2.2/ 1.1/ -1.4), (-2.4/ 1.1/ -0.7), (-2.1/ 0.1/ -0.9), (-2.1/ 0.1/ -1.0), (-2.1/ 1.5/ -1.0), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,131.6871
Sad,(-2.2/ 1.1/ -1.3), (-2.3/ 1.1/ -0.7), (-2.1/ 0.1/ -0.9), (-2.1/ 0.1/ -1.0), (-2.1/ 1.5/ -1.0), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,129.6538
Sad,(-2.2/ 1.1/ -1.3), (-2.4/ 1.1/ -0.7), (-2.1/ 0.1/ -0.9), (-2.1/ 0.1/ -0.8), (-2.1/ 1.5/ -1.0), (-0.8/ 0.5/ -0.4), 0.3333333, 0.3333333,132.6744
Sad,(-2.3/ 1.1/ -1.2), (-2.5/ 1.1/ -0.6), (-2.1/ 0.1/ -0.9), (-2.1/ 0.1/ -0.8), (-2.2/ 1.5/ -0.9), (-0.8/ 0.5/ -0.3), 0.3333333, 0.3333333,137.206
Sad,(-2.4/ 1.1/ -1.2), (-2.6/ 1.1/ -0.5), (-2.5/ 0.1/ -0.8), (-2.1/ 0.1/ -0.8), (-2.3/ 1.5/ -0.8), (-0.8/ 0.5/ -0.3), 0.3333333, 0.3333333,144.507
Sad,(-2.6/ 1.2/ -1.2), (-2.6/ 1.1/ -0.4), (-2.5/ 0.1/ -0.8), (-2.1/ 0.1/ -0.8), (-2.4/ 1.5/ -0.8), (-0.8/ 0.5/ -0.3), 0.3333333, 0.3333333,147.4477
Sad,(-2.8/ 1.2/ -1.2), (-2.5/ 1.2/ -0.5), (-2.5/ 0.1/ -0.8), (-2.4/ 0.1/ -0.9), (-2.5/ 1.5/ -0.9), (-0.8/ 0.5/ -0.3), 0.3333333, 0.3333333,154.3955
Sad,(-2.9/ 1.2/ -1.1), (-2.7/ 1.1/ -0.4), (-2.5/ 0.1/ -0.8), (-2.6/ 0.1/ -0.8), (-2.6/ 1.5/ -0.8), (-0.8/ 0.5/ -0.3), 0.3333333, 0.3333333,163.0238
Sad,(-3.0/ 1.2/ -1.0), (-2.7/ 1.1/ -0.3), (-2.7/ 0.1/ -0.7), (-2.6/ 0.1/ -0.8), (-2.7/ 1.5/ -0.7), (-0.9/ 0.5/ -0.2), 0.3333333, 0.3333333,169.2243
Sad,(-3.1/ 1.2/ -1.0), (-2.8/ 1.1/ -0.3), (-2.9/ 0.1/ -0.7), (-2.6/ 0.1/ -0.8), (-2.8/ 1.5/ -0.7), (-0.9/ 0.4/ -0.2), 0.3333333, 0.3333333,178.0229
Sad,(-3.3/ 1.1/ -1.0), (-3.0/ 1.1/ -0.3), (-2.9/ 0.1/ -0.6), (-2.7/ 0.2/ -0.8), (-3.0/ 1.5/ -0.8), (-0.9/ 0.4/ -0.2), 0.3333333, 0.3333333,186.2342
Sad,(-3.3/ 1.1/ -0.9), (-2.9/ 1.1/ -0.3), (-2.9/ 0.1/ -0.6), (-2.7/ 0.2/ -0.8), (-3.0/ 1.5/ -0.8), (-0.9/ 0.4/ -0.2), 0.3333333, 0.3333333,186.6684
Sad,(-3.4/ 1.1/ -0.6), (-2.9/ 1.1/ -0.2), (-2.9/ 0.1/ -0.6), (-3.0/ 0.1/ -0.6), (-3.1/ 1.5/ -0.6), (-0.9/ 0.4/ -0.2), 0.3333333, 0.3333333,189.4722
