Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.4/ 1.1/ -0.5), (-2.8/ 1.1/ -0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.974
Sad,(-2.4/ 1.1/ -0.5), (-2.8/ 1.1/ -0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.0698
Sad,(-2.5/ 1.1/ -0.4), (-2.6/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.4636
Sad,(-2.5/ 1.1/ -0.5), (-2.5/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.0065
Sad,(-2.5/ 1.1/ -0.5), (-2.6/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.9368
Sad,(-2.5/ 1.1/ -0.4), (-2.6/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.5071
Sad,(-2.5/ 1.1/ -0.5), (-2.6/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.2435
Sad,(-2.5/ 1.1/ -0.4), (-2.7/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.3), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.8772
Sad,(-2.5/ 1.1/ -0.5), (-2.7/ 1.1/ 0.0), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.3), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.4733
Sad,(-2.5/ 1.1/ -0.5), (-2.7/ 1.1/ 0.0), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.3), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.8616
Sad,(-2.5/ 1.1/ -0.5), (-2.7/ 1.1/ 0.0), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.3), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.8281
Sad,(-2.5/ 1.1/ -0.5), (-2.7/ 1.1/ 0.0), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.426
Sad,(-2.5/ 1.1/ -0.4), (-2.6/ 1.1/ 0.1), (-2.3/ 0.1/ -0.3), (-2.4/ 0.1/ -0.4), (-2.4/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.7788
