Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-5.5/ 1.1/ -0.5), (-5.7/ 1.1/ 0.0), (-5.2/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,367.0855
Sad,(-5.5/ 1.1/ -0.5), (-5.7/ 1.1/ 0.0), (-5.2/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,367.683
Sad,(-5.4/ 1.0/ -0.5), (-5.6/ 1.0/ 0.1), (-5.2/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,366.7184
Sad,(-5.5/ 1.1/ -0.5), (-5.7/ 1.1/ 0.1), (-5.2/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,367.4996
Sad,(-5.3/ 1.1/ -0.6), (-5.8/ 1.0/ -0.1), (-5.2/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,366.5121
Sad,(-5.2/ 1.1/ -0.5), (-5.7/ 1.1/ -0.2), (-5.3/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.3/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,362.8206
Sad,(-5.2/ 1.1/ -0.5), (-5.7/ 1.1/ -0.1), (-5.3/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.3/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,362.5238
Sad,(-5.2/ 1.1/ -0.5), (-5.7/ 1.1/ -0.1), (-5.3/ 0.1/ 0.0), (-5.5/ 0.1/ -0.1), (-5.3/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,363.8749
Sad,(-5.4/ 1.1/ -0.5), (-5.6/ 1.1/ 0.1), (-5.3/ 0.1/ 0.0), (-5.5/ 0.1/ -0.2), (-5.4/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,366.6179
Sad,(-5.4/ 1.1/ -0.5), (-5.6/ 1.1/ 0.1), (-5.3/ 0.1/ 0.0), (-5.2/ 0.2/ 0.0), (-5.3/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,360.8354
