Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.9/ 1.0/ -0.5), (-1.8/ 1.1/ -0.5), (-2.0/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.3862
Sad,(-1.9/ 1.0/ -0.6), (-1.8/ 1.1/ -0.5), (-2.0/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.8016
Sad,(-1.9/ 1.0/ -0.5), (-1.8/ 1.1/ -0.4), (-2.0/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.2084
Sad,(-1.8/ 1.0/ -0.5), (-1.8/ 1.1/ -0.4), (-2.0/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.1852
Sad,(-1.9/ 1.0/ -0.5), (-1.8/ 1.1/ -0.4), (-2.0/ 0.1/ -0.3), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.4185
Sad,(-1.9/ 1.0/ -0.5), (-1.8/ 1.1/ -0.4), (-2.0/ 0.1/ -0.3), (-2.0/ 0.1/ -0.4), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.7442
Sad,(-2.1/ 1.0/ -0.5), (-2.0/ 1.1/ -0.4), (-2.0/ 0.1/ -0.3), (-2.0/ 0.1/ -0.4), (-2.0/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,115.0626
Sad,(-2.1/ 1.1/ -0.5), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.2611
Sad,(-2.2/ 1.0/ -0.4), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.5058
Sad,(-2.2/ 1.0/ -0.4), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.3827
Sad,(-2.2/ 1.0/ -0.4), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.2/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.4574
Sad,(-2.1/ 1.1/ -0.6), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.8666
Sad,(-2.2/ 1.0/ -0.4), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.0883
Sad,(-2.2/ 1.0/ -0.4), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.7382
Sad,(-2.1/ 1.1/ -0.5), (-2.1/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.4), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.2152
Sad,(-2.0/ 1.0/ -0.4), (-2.2/ 1.1/ -0.3), (-2.1/ 0.1/ -0.4), (-2.0/ 0.1/ -0.3), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.5382
Sad,(-2.0/ 1.1/ -0.5), (-2.0/ 1.1/ -0.3), (-2.0/ 0.1/ -0.4), (-2.0/ 0.1/ -0.3), (-2.1/ 1.5/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,114.662
Sad,(-1.9/ 1.0/ -0.6), (-1.8/ 1.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.9/ 0.1/ -0.4), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.6677
Sad,(-1.7/ 1.1/ -0.8), (-1.8/ 1.1/ -0.5), (-1.9/ 0.1/ -0.4), (-1.8/ 0.1/ -0.5), (-1.7/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.7766
Sad,(-1.8/ 0.9/ -0.7), (-1.7/ 1.1/ -0.5), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.7/ 1.5/ -0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,101.9753
Sad,(-1.8/ 1.0/ -0.6), (-1.7/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,102.5441
Sad,(-1.9/ 1.0/ -0.5), (-1.8/ 1.1/ -0.4), (-2.0/ 0.1/ -0.4), (-1.9/ 0.1/ -0.5), (-1.8/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.0505
