Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.6/ 1.3/ -0.3), (-1.5/ 1.1/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.73647
Sad,(-1.6/ 1.5/ -0.4), (-1.4/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.25582
Sad,(-1.6/ 1.5/ -0.4), (-1.4/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.4/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.20998
Sad,(-1.6/ 1.5/ -0.4), (-1.5/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.20826
Sad,(-1.6/ 1.5/ -0.5), (-1.5/ 1.1/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.44804
Sad,(-1.7/ 1.4/ -0.4), (-1.5/ 1.2/ 0.1), (-1.3/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.80632
Sad,(-1.7/ 1.3/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.78209
Sad,(-1.6/ 1.3/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.5), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.72464
Sad,(-1.6/ 1.3/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.36561
Sad,(-1.6/ 1.3/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.12682
Sad,(-1.7/ 1.4/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,83.21169
Sad,(-1.7/ 1.4/ -0.4), (-1.5/ 1.2/ 0.1), (-1.4/ 0.2/ -0.3), (-1.5/ 0.2/ -0.4), (-1.5/ 1.6/ -0.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.62456
