Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.04171
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.07569
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.7957
Disgusted,(0.8/ 1.1/ 0.5), (0.4/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.27345
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.72607
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.17574
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.8/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.73418
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.22762
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.17664
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.00345
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.77322
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,80.89386
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.41691
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.60656
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.61528
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.68432
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.89014
Disgusted,(0.9/ 1.1/ 0.5), (0.5/ 1.1/ 0.9), (0.9/ 0.1/ 0.8), (1.0/ 0.1/ 1.1), (0.9/ 1.5/ 0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.16428
