Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.8/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.9224
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.0/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,111.4241
Disgusted,(0.9/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.6302
Disgusted,(0.8/ 1.1/ 1.2), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.8611
Disgusted,(0.8/ 1.1/ 1.2), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.4307
Disgusted,(0.8/ 1.1/ 1.2), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.0554
Disgusted,(0.8/ 1.1/ 1.2), (0.6/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.5), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.4311
Disgusted,(0.8/ 1.1/ 1.2), (0.6/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.6281
Disgusted,(0.8/ 1.1/ 1.2), (0.6/ 1.1/ 1.3), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.3618
Disgusted,(0.8/ 1.1/ 1.3), (0.6/ 1.1/ 1.4), (1.1/ 0.1/ 1.3), (1.0/ 0.1/ 1.4), (1.0/ 1.5/ 1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.8297
