Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Angry,(0.7/ 0.9/ 0.4), (-0.6/ 0.9/ 0.6), (0.1/ -0.4/ 0.5), (0.0/ -0.4/ 0.5), (0.1/ 1.0/ 0.5), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333,58.25387
Angry,(0.7/ 0.9/ 0.4), (-0.6/ 0.9/ 0.6), (0.1/ -0.4/ 0.5), (0.0/ -0.4/ 0.5), (0.1/ 1.0/ 0.5), (-0.9/ -0.3/ 0.3), 0.3333333, 0.3333333,58.19762
Angry,(0.7/ 0.9/ 0.5), (-0.6/ 0.9/ 0.5), (0.1/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.8/ -0.3/ 0.6), 0.3333333, 0.3333333,58.26178
Angry,(0.7/ 0.9/ 0.4), (-0.6/ 0.9/ 0.6), (0.1/ -0.4/ 0.5), (0.0/ -0.4/ 0.5), (0.1/ 1.0/ 0.5), (-0.7/ -0.4/ 0.6), 0.3333333, 0.3333333,58.27215
Angry,(0.7/ 0.9/ 0.5), (-0.7/ 0.9/ 0.5), (0.1/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.8/ -0.4/ 0.4), 0.3333333, 0.3333333,58.39369
Angry,(0.6/ 0.9/ 0.6), (-0.7/ 0.9/ 0.5), (0.0/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.4/ 0.2), 0.3333333, 0.3333333,58.32727
Angry,(0.7/ 0.9/ 0.5), (-0.7/ 0.9/ 0.5), (0.1/ -0.4/ 0.5), (-0.1/ -0.4/ 0.5), (0.0/ 1.0/ 0.5), (-0.9/ -0.3/ 0.2), 0.3333333, 0.3333333,58.3085
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 20,47 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
