Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.9/ 1.0/ 0.9), (-4.2/ 1.0/ 1.0), (-4.0/ 0.1/ 0.8), (-3.8/ 0.1/ 1.2), (-4.0/ 1.5/ 1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,282.0324
Sad,(-3.7/ 1.0/ 0.8), (-4.0/ 1.0/ 0.9), (-3.7/ 0.1/ 1.0), (-3.8/ 0.1/ 1.2), (-3.8/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,270.737
Sad,(-3.5/ 1.0/ 0.9), (-3.8/ 1.1/ 0.8), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,260.7476
Sad,(-3.5/ 1.0/ 1.0), (-3.7/ 1.1/ 0.8), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,260.4172
Sad,(-3.4/ 1.1/ 0.9), (-3.7/ 1.1/ 0.8), (-3.7/ 0.1/ 1.0), (-3.7/ 0.1/ 1.2), (-3.8/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,258.0706
Sad,(-3.3/ 1.1/ 0.8), (-3.6/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.8/ 0.1/ 1.2), (-3.7/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,252.6519
Sad,(-3.3/ 1.1/ 0.8), (-3.6/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.8/ 0.1/ 1.2), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.4676
Sad,(-3.3/ 1.1/ 0.7), (-3.6/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.8/ 0.1/ 1.2), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.414
Sad,(-3.3/ 1.1/ 0.7), (-3.6/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.2), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.3049
Sad,(-3.3/ 1.1/ 0.7), (-3.6/ 1.1/ 0.8), (-3.6/ 0.1/ 0.9), (-3.7/ 0.1/ 1.1), (-3.6/ 1.5/ 1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,250.5438
