Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.1/ 1.2/ -1.7), (-0.4/ 1.1/ -1.4), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.51914
Sad,(-0.2/ 1.2/ -1.8), (-0.4/ 1.1/ -1.4), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.94966
Sad,(-0.2/ 1.2/ -1.8), (-0.5/ 1.1/ -1.4), (-0.1/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.8782
Sad,(-0.2/ 1.2/ -1.8), (-0.5/ 1.0/ -1.4), (-0.2/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.35683
Sad,(-0.3/ 1.2/ -1.8), (-0.5/ 1.1/ -1.4), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.51053
Sad,(-0.2/ 1.2/ -1.8), (-0.5/ 1.1/ -1.4), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.89938
Sad,(0.0/ 1.3/ -1.8), (-0.4/ 1.1/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.33283
Sad,(0.0/ 1.3/ -1.8), (-0.4/ 1.1/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.60379
Sad,(0.0/ 1.2/ -1.8), (-0.4/ 1.1/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.22482
Sad,(-0.1/ 1.2/ -1.8), (-0.5/ 1.1/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.89229
Sad,(-0.2/ 1.2/ -1.8), (-0.5/ 1.1/ -1.4), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.86947
Sad,(-0.2/ 1.2/ -1.9), (-0.5/ 1.1/ -1.4), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.70561
Sad,(-0.2/ 1.2/ -1.9), (-0.4/ 1.1/ -1.4), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.56281
Sad,(-0.1/ 1.2/ -1.9), (-0.4/ 1.1/ -1.4), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.85688
Sad,(0.0/ 1.3/ -1.8), (-0.4/ 1.1/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.65102
Sad,(0.0/ 1.2/ -1.8), (-0.4/ 1.1/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.37087
Sad,(0.0/ 1.2/ -1.8), (-0.4/ 1.1/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.48024
Sad,(-0.1/ 1.3/ -1.9), (-0.4/ 1.0/ -1.5), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.05875
Sad,(-0.1/ 1.3/ -1.8), (-0.4/ 1.0/ -1.4), (-0.2/ 0.1/ -1.6), (-0.2/ 0.1/ -1.3), (-0.1/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.4857
Sad,(0.0/ 1.3/ -1.8), (-0.4/ 1.0/ -1.5), (-0.2/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.01365
Sad,(-0.1/ 1.3/ -1.9), (-0.4/ 1.1/ -1.5), (-0.2/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.10251
Sad,(-0.1/ 1.2/ -1.9), (-0.4/ 1.1/ -1.4), (-0.2/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.56697
Sad,(-0.2/ 1.3/ -1.9), (-0.4/ 1.1/ -1.4), (-0.2/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.10912
Sad,(-0.1/ 1.2/ -1.9), (-0.4/ 1.0/ -1.4), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.96455
Sad,(-0.1/ 1.2/ -2.0), (-0.4/ 1.1/ -1.4), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.94823
Sad,(-0.1/ 1.2/ -1.9), (-0.5/ 1.0/ -1.4), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.2/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.01544
Sad,(-0.2/ 1.2/ -1.8), (-0.6/ 1.0/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.53392
Sad,(-0.1/ 1.3/ -1.7), (-0.6/ 1.1/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.102
Sad,(-0.1/ 1.3/ -1.7), (-0.6/ 1.0/ -1.3), (-0.3/ 0.1/ -1.5), (-0.2/ 0.1/ -1.3), (-0.3/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.50832
