Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -0.9), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,117.8804
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.2535
Sad,(2.0/ 1.2/ -1.2), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (1.9/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.2336
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.7545
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.5878
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.0004
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.7652
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.8707
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.8), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.7586
Sad,(2.1/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.7), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.04
Sad,(2.1/ 1.2/ -1.1), (2.1/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.7), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,120.3045
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.0/ 0.1/ -0.9), (2.0/ 0.1/ -0.7), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.0748
Sad,(2.0/ 1.2/ -1.1), (2.0/ 1.0/ -1.0), (2.1/ 0.1/ -0.9), (2.0/ 0.1/ -0.7), (2.0/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.658
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 52,21 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
