Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.6/ 1.4/ -2.2), (-0.4/ 1.1/ -2.5), (-0.7/ 0.1/ -2.5), (-0.9/ 0.1/ -2.6), (-0.8/ 1.5/ -2.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,139.5158
Sad,(-0.5/ 1.4/ -2.2), (-0.3/ 1.1/ -2.5), (-0.7/ 0.1/ -2.5), (-0.7/ 0.1/ -2.5), (-0.6/ 1.5/ -2.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,136.634
Sad,(-0.4/ 1.4/ -2.1), (-0.2/ 1.1/ -2.4), (-0.4/ 0.1/ -2.1), (-0.7/ 0.1/ -2.5), (-0.5/ 1.5/ -2.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,129.2016
Sad,(-0.4/ 1.4/ -2.0), (-0.2/ 1.1/ -2.2), (-0.4/ 0.1/ -2.1), (-0.7/ 0.1/ -2.5), (-0.5/ 1.5/ -2.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,119.8769
Sad,(-0.3/ 1.3/ -1.7), (-0.1/ 1.1/ -2.1), (-0.4/ 0.1/ -2.1), (-0.4/ 0.1/ -2.1), (-0.4/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.7733
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.8734
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.8437
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.2265
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.3599
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.2823
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.1599
Sad,(-0.2/ 1.2/ -1.7), (0.1/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.0455
Sad,(-0.3/ 1.2/ -1.7), (0.1/ 1.2/ -2.2), (-0.3/ 0.2/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.6355
Sad,(-0.3/ 1.2/ -1.6), (0.1/ 1.1/ -2.1), (-0.3/ 0.1/ -1.9), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.0533
Sad,(-0.3/ 1.2/ -1.6), (0.1/ 1.1/ -2.1), (-0.3/ 0.1/ -1.9), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.8287
Sad,(-0.2/ 1.2/ -1.6), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -1.9), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.2243
Sad,(-0.1/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -1.9), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.0084
Sad,(-0.1/ 1.2/ -1.7), (0.0/ 1.1/ -2.2), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.1408
Sad,(-0.1/ 1.2/ -1.7), (0.0/ 1.1/ -2.3), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.3745
Sad,(-0.1/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.4328
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.0), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.1182
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.0), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.7891
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.0), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.4906
Sad,(-0.2/ 1.2/ -1.7), (0.0/ 1.1/ -2.0), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.5906
Sad,(-0.1/ 1.2/ -1.7), (0.1/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.9172
Sad,(-0.1/ 1.2/ -1.7), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.68
Sad,(-0.1/ 1.2/ -1.8), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.1485
Sad,(0.0/ 1.2/ -1.8), (0.1/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.2147
Sad,(0.0/ 1.2/ -1.8), (0.0/ 1.1/ -2.1), (-0.3/ 0.1/ -2.0), (-0.4/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.4596
