Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.39287
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.65409
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.2), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.88631
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,25.93695
Fearful,(-0.2/ 1.0/ -0.2), (-0.5/ 1.0/ 0.1), (-0.1/ 0.1/ 0.0), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.0718
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.2735
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,26.42811
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.24761
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.43509
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.66598
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.12945
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.55313
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.69263
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.09716
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.49583
Fearful,(-0.2/ 1.0/ -0.2), (-0.6/ 1.0/ 0.2), (-0.1/ 0.1/ 0.1), (-0.3/ 0.1/ 0.2), (-0.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,27.55277
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-1.3/ 1.0/ -0.2), (-1.4/ 1.1/ 0.4), (-1.1/ 0.1/ -0.1), (-1.2/ 0.1/ 0.1), (-1.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.75875
Sad,(-1.4/ 1.0/ -0.1), (-1.3/ 1.1/ 0.4), (-1.1/ 0.1/ 0.0), (-1.2/ 0.1/ 0.1), (-1.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.13522
Sad,(-1.3/ 1.0/ -0.1), (-1.3/ 1.1/ 0.4), (-1.1/ 0.1/ 0.0), (-1.2/ 0.1/ 0.1), (-1.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.62989
Neutral,(-1.1/ 1.0/ 0.1), (-1.1/ 1.1/ 0.5), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.1), (-1.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,72.67808
Neutral,(-1.1/ 1.0/ 0.1), (-1.1/ 1.0/ 0.5), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.1), (-1.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.70183
Neutral,(-1.1/ 1.0/ 0.1), (-1.0/ 0.9/ 0.3), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.1), (-1.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.80523
Neutral,(-1.1/ 1.0/ 0.1), (-1.0/ 0.9/ 0.3), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.1), (-1.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,69.78754
Neutral,(-1.1/ 1.0/ 0.2), (-1.1/ 0.9/ 0.3), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.1), (-1.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.3826
Neutral,(-1.1/ 1.0/ 0.2), (-1.1/ 0.9/ 0.4), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.1), (-1.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.38033
Neutral,(-1.2/ 1.0/ 0.1), (-1.2/ 0.9/ 0.3), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.2), (-1.1/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.46724
Neutral,(-1.2/ 1.0/ 0.2), (-1.2/ 0.9/ 0.4), (-1.2/ 0.1/ 0.1), (-1.0/ 0.1/ 0.3), (-1.2/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.4147
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 46,82 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 57,98189 %
No se ha detectado ninguna palabra
