Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.2/ 1.3/ -2.1), (-2.0/ 1.1/ -1.5), (-1.8/ 0.1/ -1.8), (-2.0/ 0.1/ -2.1), (-2.0/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.1132
Sad,(-2.3/ 1.4/ -2.2), (-2.1/ 1.1/ -1.6), (-1.9/ 0.1/ -1.8), (-2.0/ 0.1/ -2.1), (-2.1/ 1.5/ -2.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,157.3857
Sad,(-2.3/ 1.4/ -2.1), (-2.1/ 1.1/ -1.6), (-1.9/ 0.1/ -1.8), (-2.0/ 0.1/ -2.1), (-2.0/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,156.5913
Sad,(-2.3/ 1.4/ -2.0), (-2.0/ 1.1/ -1.5), (-1.9/ 0.1/ -1.8), (-2.0/ 0.1/ -2.1), (-2.0/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.5958
Sad,(-2.3/ 1.2/ -1.9), (-1.8/ 1.1/ -1.5), (-1.9/ 0.1/ -1.8), (-2.0/ 0.1/ -2.1), (-2.0/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,149.2389
Sad,(-2.3/ 1.1/ -1.9), (-1.8/ 1.1/ -1.5), (-1.9/ 0.1/ -1.8), (-2.0/ 0.1/ -2.0), (-2.0/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,146.9103
Sad,(-2.2/ 1.1/ -2.1), (-1.9/ 1.1/ -1.4), (-1.9/ 0.1/ -1.8), (-1.9/ 0.1/ -2.0), (-2.0/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,147.218
Sad,(-2.0/ 1.1/ -2.2), (-1.9/ 1.1/ -1.5), (-1.9/ 0.1/ -1.8), (-1.7/ 0.1/ -1.9), (-1.8/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,142.9856
Sad,(-1.8/ 1.3/ -2.3), (-1.9/ 1.2/ -1.5), (-1.7/ 0.1/ -1.7), (-1.7/ 0.1/ -1.9), (-1.7/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,138.9389
Sad,(-1.9/ 1.2/ -2.2), (-1.9/ 1.2/ -1.5), (-1.7/ 0.1/ -1.7), (-1.7/ 0.1/ -2.0), (-1.8/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,138.9672
Sad,(-1.9/ 1.2/ -2.2), (-1.9/ 1.2/ -1.5), (-1.7/ 0.1/ -1.7), (-1.7/ 0.1/ -2.0), (-1.8/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,138.327
Sad,(-2.0/ 1.2/ -2.2), (-1.8/ 1.2/ -1.5), (-1.7/ 0.1/ -1.7), (-1.7/ 0.1/ -2.0), (-1.8/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,137.4663
Sad,(-2.0/ 1.2/ -2.0), (-1.5/ 1.2/ -1.5), (-1.5/ 0.1/ -1.8), (-1.7/ 0.1/ -1.9), (-1.7/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,129.4017
Sad,(-1.9/ 1.2/ -1.8), (-1.2/ 1.2/ -1.6), (-1.4/ 0.1/ -1.8), (-1.7/ 0.1/ -1.9), (-1.6/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,121.3876
Sad,(-1.7/ 1.1/ -1.6), (-1.1/ 1.1/ -1.7), (-1.4/ 0.1/ -1.8), (-1.7/ 0.1/ -1.8), (-1.5/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,113.4438
Sad,(-1.7/ 1.1/ -1.4), (-1.1/ 1.1/ -1.7), (-1.4/ 0.1/ -1.8), (-1.6/ 0.1/ -1.4), (-1.4/ 1.4/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,104.7147
Sad,(-1.7/ 1.1/ -1.2), (-1.2/ 1.1/ -1.7), (-1.5/ 0.1/ -1.6), (-1.5/ 0.1/ -1.4), (-1.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,100.5203
Sad,(-1.7/ 1.1/ -1.1), (-1.2/ 1.1/ -1.7), (-1.4/ 0.1/ -1.4), (-1.5/ 0.1/ -1.4), (-1.5/ 1.5/ -1.4), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,96.27106
Sad,(-1.6/ 1.1/ -1.0), (-1.1/ 1.1/ -1.5), (-1.3/ 0.1/ -1.3), (-1.5/ 0.1/ -1.4), (-1.4/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.10292
Sad,(-1.6/ 1.1/ -0.9), (-1.0/ 1.1/ -1.3), (-1.3/ 0.1/ -1.3), (-1.5/ 0.1/ -1.0), (-1.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,79.07177
Sad,(-1.7/ 1.2/ -0.8), (-1.1/ 1.1/ -1.0), (-1.3/ 0.2/ -1.2), (-1.5/ 0.1/ -0.9), (-1.5/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.3219
Sad,(-1.8/ 1.2/ -0.7), (-1.1/ 1.2/ -0.9), (-1.5/ 0.1/ -0.8), (-1.5/ 0.1/ -0.9), (-1.5/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.75941
Sad,(-1.9/ 1.2/ -0.6), (-1.1/ 1.1/ -0.6), (-1.5/ 0.1/ -0.5), (-1.5/ 0.1/ -0.9), (-1.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.87133
Sad,(-1.9/ 1.2/ -0.4), (-1.2/ 1.1/ -0.3), (-1.5/ 0.1/ -0.5), (-1.6/ 0.1/ -0.6), (-1.6/ 1.5/ -0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.06338
Sad,(-2.0/ 1.2/ -0.3), (-1.3/ 1.1/ -0.1), (-1.5/ 0.1/ -0.5), (-1.8/ 0.1/ -0.3), (-1.7/ 1.5/ -0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,92.32732
Sad,(-2.1/ 1.2/ -0.2), (-1.5/ 1.2/ 0.0), (-1.8/ 0.1/ -0.1), (-1.8/ 0.1/ -0.3), (-1.8/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,106.3276
Sad,(-2.3/ 1.2/ -0.1), (-1.7/ 1.1/ 0.4), (-1.9/ 0.1/ 0.0), (-1.8/ 0.1/ -0.2), (-1.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,118.5475
Sad,(-2.3/ 1.2/ -0.1), (-1.9/ 1.1/ 0.4), (-1.9/ 0.1/ 0.0), (-2.2/ 0.1/ -0.1), (-2.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,128.0948
Sad,(-2.5/ 1.2/ -0.2), (-2.1/ 1.1/ 0.4), (-1.9/ 0.1/ 0.1), (-2.3/ 0.1/ 0.0), (-2.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,137.3318
Sad,(-2.5/ 1.2/ -0.2), (-2.3/ 1.1/ 0.5), (-2.3/ 0.1/ 0.2), (-2.3/ 0.1/ 0.0), (-2.3/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,148.9511
Sad,(-2.4/ 1.2/ -0.2), (-2.6/ 1.1/ 0.4), (-2.4/ 0.1/ 0.2), (-2.3/ 0.1/ 0.0), (-2.4/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,155.2891
Sad,(-2.5/ 1.2/ -0.2), (-2.6/ 1.1/ 0.5), (-2.4/ 0.1/ 0.2), (-2.3/ 0.1/ -0.1), (-2.4/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,155.392
Sad,(-2.6/ 1.2/ -0.3), (-2.4/ 1.1/ 0.4), (-2.4/ 0.1/ 0.2), (-2.3/ 0.1/ -0.1), (-2.4/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,153.7779
Sad,(-2.6/ 1.2/ -0.4), (-2.3/ 1.1/ 0.3), (-2.3/ 0.1/ 0.1), (-2.3/ 0.1/ -0.1), (-2.4/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.0976
Sad,(-2.6/ 1.2/ -0.4), (-2.3/ 1.1/ 0.3), (-2.3/ 0.1/ 0.1), (-2.3/ 0.1/ -0.1), (-2.4/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,151.2301
Sad,(-2.7/ 1.1/ -0.3), (-2.3/ 1.1/ 0.3), (-2.3/ 0.1/ 0.1), (-2.3/ 0.1/ -0.1), (-2.4/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,150.8232
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(-2.8/ 1.2/ -0.3), (-2.5/ 1.2/ 0.4), (-2.5/ 0.1/ 0.1), (-2.4/ 0.1/ -0.1), (-2.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,161.1331
Sad,(-2.7/ 1.2/ -0.3), (-2.5/ 1.1/ 0.4), (-2.5/ 0.1/ 0.1), (-2.4/ 0.1/ -0.1), (-2.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,160.7024
Sad,(-2.6/ 1.2/ -0.3), (-2.6/ 1.1/ 0.5), (-2.5/ 0.1/ 0.1), (-2.4/ 0.1/ -0.1), (-2.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,162.2318
Sad,(-2.8/ 1.1/ -0.2), (-2.5/ 1.1/ 0.5), (-2.5/ 0.1/ 0.1), (-2.7/ 0.1/ -0.1), (-2.6/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,168.457
Sad,(-3.0/ 1.2/ -0.3), (-2.7/ 1.1/ 0.4), (-2.6/ 0.2/ 0.1), (-2.7/ 0.1/ -0.1), (-2.8/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,176.2748
Sad,(-3.1/ 1.2/ -0.3), (-2.9/ 1.1/ 0.4), (-3.0/ 0.1/ 0.1), (-2.7/ 0.1/ -0.1), (-2.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,186.8177
Sad,(-2.9/ 1.2/ -0.4), (-3.1/ 1.1/ 0.5), (-3.0/ 0.1/ 0.1), (-2.8/ 0.1/ -0.1), (-2.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,187.3354
Sad,(-3.0/ 1.2/ -0.4), (-3.1/ 1.1/ 0.5), (-3.0/ 0.1/ 0.1), (-2.8/ 0.1/ -0.1), (-2.9/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,189.581
Sad,(-2.9/ 1.2/ -0.4), (-3.1/ 1.1/ 0.5), (-3.0/ 0.1/ 0.0), (-2.8/ 0.1/ -0.1), (-2.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,188.8
Sad,(-2.9/ 1.2/ -0.4), (-3.2/ 1.1/ 0.4), (-3.0/ 0.1/ 0.0), (-2.8/ 0.1/ -0.1), (-2.9/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,188.1603
Sad,(-3.2/ 1.2/ -0.3), (-3.0/ 1.1/ 0.5), (-3.0/ 0.1/ 0.0), (-2.8/ 0.1/ -0.1), (-3.0/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,191.9374
Sad,(-3.4/ 1.2/ -0.1), (-2.8/ 1.1/ 0.4), (-3.0/ 0.1/ 0.0), (-3.2/ 0.1/ -0.2), (-3.1/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,198.5881
Sad,(-3.5/ 1.2/ 0.0), (-2.7/ 1.1/ 0.1), (-3.1/ 0.1/ 0.0), (-3.2/ 0.1/ -0.2), (-3.2/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,201.1781
Sad,(-3.5/ 1.2/ 0.3), (-2.7/ 1.1/ 0.1), (-3.2/ 0.1/ 0.3), (-3.2/ 0.1/ -0.2), (-3.2/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,203.0746
Sad,(-3.5/ 1.2/ 0.4), (-2.7/ 1.1/ 0.2), (-3.2/ 0.1/ 0.3), (-3.3/ 0.1/ 0.1), (-3.2/ 1.5/ 0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,207.1613
Sad,(-3.7/ 1.2/ 0.7), (-2.8/ 1.1/ 0.1), (-3.2/ 0.1/ 0.3), (-3.4/ 0.1/ 0.3), (-3.3/ 1.5/ 0.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,216.9767
Sad,(-3.6/ 1.1/ 0.9), (-3.0/ 1.1/ 0.1), (-3.2/ 0.1/ 0.4), (-3.4/ 0.1/ 0.3), (-3.4/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,223.231
Sad,(-3.5/ 1.1/ 0.9), (-3.0/ 1.1/ 0.2), (-3.3/ 0.1/ 0.5), (-3.5/ 0.1/ 0.3), (-3.4/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,222.1154
Sad,(-3.4/ 1.1/ 0.8), (-2.9/ 1.1/ 0.3), (-3.3/ 0.1/ 0.5), (-3.5/ 0.1/ 0.4), (-3.3/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,220.0634
Sad,(-3.4/ 1.2/ 0.8), (-2.9/ 1.1/ 0.3), (-3.3/ 0.1/ 0.5), (-3.5/ 0.1/ 0.5), (-3.4/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,222.4672
Sad,(-3.5/ 1.2/ 0.9), (-3.0/ 1.1/ 0.3), (-3.3/ 0.1/ 0.5), (-3.5/ 0.1/ 0.5), (-3.5/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,225.7145
