Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-2.4/ 1.2/ 0.3), (-2.7/ 1.2/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.4/ 1.5/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,174.3602
Sad,(-2.5/ 1.1/ 0.5), (-2.8/ 1.2/ 1.0), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.4/ 1.5/ 0.7), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,179.7321
Sad,(-2.5/ 1.1/ 0.5), (-2.8/ 1.1/ 1.1), (-2.5/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.5/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,183.0883
Sad,(-2.4/ 1.2/ 0.5), (-2.8/ 1.1/ 1.1), (-2.5/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.4/ 1.5/ 0.8), (-0.8/ 0.5/ 0.3), 0.3333333, 0.3333333,180.2801
Sad,(-2.4/ 1.2/ 0.4), (-2.7/ 1.1/ 1.0), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.4/ 1.5/ 0.7), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,176.7811
Sad,(-2.4/ 1.1/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.3/ 1.4/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,172.7337
Sad,(-2.4/ 1.2/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.3/ 1.4/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,171.5361
Sad,(-2.4/ 1.1/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.3/ 1.4/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,171.4902
Sad,(-2.4/ 1.2/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.3/ 1.4/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,171.0135
Sad,(-2.4/ 1.1/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.3/ 1.4/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,172.0244
Sad,(-2.4/ 1.1/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.3/ 1.4/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,172.162
Sad,(-2.4/ 1.1/ 0.3), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.8), (-2.3/ 1.4/ 0.6), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,171.7083
Sad,(-2.4/ 1.1/ 0.3), (-2.7/ 1.1/ 0.8), (-2.4/ 0.1/ 0.7), (-2.4/ 0.1/ 0.7), (-2.3/ 1.4/ 0.5), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,170.9353
Sad,(-2.4/ 1.3/ 0.2), (-2.6/ 1.1/ 0.9), (-2.4/ 0.1/ 0.7), (-2.6/ 0.2/ 0.5), (-2.4/ 1.5/ 0.5), (-0.8/ 0.5/ 0.2), 0.3333333, 0.3333333,172.0156
Sad,(-2.4/ 1.2/ 0.1), (-2.9/ 1.2/ 0.8), (-2.5/ 0.1/ 0.7), (-2.6/ 0.1/ 0.5), (-2.5/ 1.5/ 0.5), (-0.9/ 0.5/ 0.2), 0.3333333, 0.3333333,176.8881
Sad,(-2.6/ 1.1/ 0.2), (-3.0/ 1.1/ 0.8), (-2.7/ 0.1/ 0.4), (-2.6/ 0.1/ 0.5), (-2.7/ 1.5/ 0.5), (-0.9/ 0.5/ 0.2), 0.3333333, 0.3333333,184.3319
Sad,(-2.8/ 1.1/ 0.2), (-3.0/ 1.1/ 0.7), (-2.9/ 0.1/ 0.3), (-2.6/ 0.1/ 0.5), (-2.7/ 1.5/ 0.4), (-0.9/ 0.5/ 0.1), 0.3333333, 0.3333333,186.1922
Sad,(-2.8/ 1.1/ 0.0), (-3.1/ 1.1/ 0.5), (-2.9/ 0.1/ 0.2), (-2.6/ 0.1/ 0.5), (-2.7/ 1.5/ 0.3), (-0.9/ 0.5/ 0.1), 0.3333333, 0.3333333,184.6668
Sad,(-2.8/ 1.1/ -0.1), (-3.1/ 1.1/ 0.4), (-2.9/ 0.1/ 0.2), (-2.7/ 0.2/ 0.3), (-2.8/ 1.5/ 0.2), (-0.9/ 0.5/ 0.1), 0.3333333, 0.3333333,186.1062
Sad,(-2.9/ 1.1/ -0.1), (-3.2/ 1.1/ 0.5), (-2.9/ 0.1/ 0.3), (-2.9/ 0.1/ 0.3), (-2.9/ 1.5/ 0.2), (-0.9/ 0.5/ 0.1), 0.3333333, 0.3333333,193.3009
Sad,(-3.1/ 1.3/ -0.1), (-3.3/ 1.1/ 0.5), (-2.9/ 0.1/ 0.2), (-2.9/ 0.1/ 0.3), (-3.0/ 1.5/ 0.2), (-0.9/ 0.4/ 0.1), 0.3333333, 0.3333333,199.3761
Sad,(-3.0/ 1.1/ 0.0), (-3.3/ 1.1/ 0.6), (-2.9/ 0.1/ 0.3), (-2.9/ 0.1/ 0.3), (-3.0/ 1.5/ 0.3), (-0.9/ 0.4/ 0.1), 0.3333333, 0.3333333,200.6814
