Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Fearful,(-0.5/ 1.0/ 0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.06139
Fearful,(-0.5/ 1.1/ 0.0), (-0.8/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.90026
Surprised,(-0.5/ 1.2/ 0.0), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.237
Surprised,(-0.5/ 1.4/ 0.0), (-0.8/ 1.1/ 0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.04821
Surprised,(-0.4/ 1.4/ 0.0), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.17821
Surprised,(-0.5/ 1.2/ 0.1), (-0.9/ 1.2/ 0.0), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.72515
Fearful,(-0.5/ 1.2/ 0.0), (-0.9/ 1.2/ 0.1), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.70412
Neutral,(-0.5/ 1.1/ 0.1), (-0.6/ 1.1/ 0.5), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.4/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.31667
Neutral,(-0.5/ 1.2/ 0.1), (-0.6/ 1.1/ 0.5), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.4/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.47858
Surprised,(-0.5/ 1.2/ 0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.52779
Surprised,(-0.5/ 1.2/ 0.1), (-0.9/ 1.1/ 0.1), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,41.3754
Surprised,(-0.4/ 1.4/ 0.0), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.69739
Surprised,(-0.4/ 1.4/ 0.0), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.60678
Neutral,(-0.5/ 1.1/ 0.2), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.96294
Surprised,(-0.4/ 1.3/ 0.1), (-0.8/ 1.1/ 0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.1), (-0.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.07023
Neutral,(-0.4/ 1.3/ 0.1), (-0.7/ 1.1/ 0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.2), (-0.5/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.37478
Neutral,(-0.4/ 1.3/ 0.1), (-0.7/ 1.1/ 0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.2), (-0.4/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,39.16686
Fearful,(-0.4/ 1.0/ 0.2), (-0.8/ 1.1/ 0.4), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.2), (-0.4/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,37.92198
Fearful,(-0.5/ 1.1/ 0.2), (-0.8/ 1.1/ 0.3), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.2), (-0.4/ 1.5/ 0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,40.28324
Fearful,(-0.5/ 1.2/ 0.1), (-0.9/ 1.1/ 0.2), (-0.4/ 0.1/ 0.0), (-0.5/ 0.1/ 0.2), (-0.5/ 1.5/ 0.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,42.70031
Surprised,(-0.5/ 1.2/ 0.0), (-0.9/ 1.1/ 0.0), (-0.5/ 0.1/ -0.2), (-0.5/ 0.1/ 0.1), (-0.6/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.54301
Sad,(-0.5/ 1.2/ -0.1), (-1.0/ 1.1/ -0.1), (-0.5/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.6/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.207
Sad,(-0.6/ 1.2/ 0.0), (-1.0/ 1.1/ -0.2), (-0.4/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.5/ 1.5/ -0.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,45.2667
Sad,(-0.7/ 1.2/ 0.0), (-1.0/ 1.1/ -0.3), (-0.4/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,43.85722
Sad,(-0.6/ 1.2/ 0.0), (-1.0/ 1.1/ -0.2), (-0.4/ 0.1/ -0.2), (-0.7/ 0.1/ -0.1), (-0.5/ 1.5/ -0.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,44.91661
