Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226
Sad,(-3.8/ 1.0/ -4.0), (-3.6/ 1.1/ -3.4), (-3.6/ 0.1/ -3.6), (-3.8/ 0.1/ -3.6), (-3.7/ 1.4/ -3.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,328.1226

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
No se ha detectado ninguna palabra
