Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-1.5/ 1.1/ -0.9), (-1.4/ 1.1/ -0.6), (-1.2/ 0.1/ -1.0), (-1.3/ 0.1/ -0.8), (-1.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,70.14554
Sad,(-1.5/ 1.1/ -1.1), (-1.4/ 1.1/ -0.8), (-1.1/ 0.1/ -1.1), (-1.2/ 0.1/ -0.8), (-1.3/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,71.106
Sad,(-1.4/ 1.2/ -1.4), (-1.4/ 1.2/ -1.0), (-1.1/ 0.1/ -1.1), (-1.3/ 0.1/ -0.9), (-1.2/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.8171
Sad,(-1.4/ 1.1/ -1.4), (-1.4/ 1.2/ -1.1), (-1.1/ 0.1/ -1.1), (-1.4/ 0.1/ -1.0), (-1.2/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,77.20692
Sad,(-1.3/ 1.2/ -1.4), (-1.4/ 1.2/ -1.1), (-1.1/ 0.1/ -1.1), (-1.4/ 0.1/ -1.0), (-1.2/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,76.64377
Sad,(-1.3/ 1.1/ -1.4), (-1.4/ 1.2/ -1.1), (-1.1/ 0.1/ -1.1), (-1.4/ 0.1/ -1.0), (-1.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,75.96889
Sad,(-1.3/ 1.1/ -1.3), (-1.3/ 1.2/ -1.1), (-1.1/ 0.1/ -1.1), (-1.4/ 0.1/ -1.0), (-1.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.89934
Sad,(-1.2/ 1.1/ -1.4), (-1.3/ 1.2/ -1.1), (-1.1/ 0.1/ -1.0), (-1.4/ 0.1/ -1.0), (-1.1/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,73.78738
Sad,(-1.3/ 1.0/ -1.3), (-1.3/ 1.2/ -1.1), (-1.1/ 0.1/ -1.0), (-1.4/ 0.1/ -1.0), (-1.2/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,74.47874
Sad,(-1.4/ 1.1/ -1.3), (-1.4/ 1.2/ -1.1), (-1.1/ 0.1/ -1.0), (-1.4/ 0.1/ -1.1), (-1.3/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,78.47613
Sad,(-1.5/ 1.1/ -1.3), (-1.6/ 1.1/ -1.1), (-1.1/ 0.1/ -1.1), (-1.4/ 0.1/ -1.1), (-1.4/ 1.5/ -1.1), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,84.38459
Sad,(-1.6/ 1.0/ -1.3), (-1.5/ 1.1/ -1.1), (-1.1/ 0.1/ -1.2), (-1.4/ 0.1/ -1.1), (-1.5/ 1.4/ -1.2), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,87.34544
Sad,(-1.5/ 1.1/ -1.5), (-1.4/ 1.2/ -1.2), (-1.1/ 0.1/ -1.2), (-1.4/ 0.1/ -1.1), (-1.3/ 1.5/ -1.3), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,85.2146
