Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Neutral,(-0.2/ 1.2/ 0.8), (0.2/ 1.1/ 0.3), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.6), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,33.78241
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.87203
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.56106
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.55097
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.60888
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.98294
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.45306
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.1), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.43349
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.0/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.58079
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.1/ 0.1), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.88285
Neutral,(-0.1/ 1.1/ 0.7), (0.2/ 1.0/ 0.1), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.30396
Neutral,(-0.1/ 1.1/ 0.6), (0.2/ 1.1/ 0.2), (-0.3/ 0.1/ 0.4), (-0.1/ 0.1/ 0.5), (-0.2/ 1.5/ 0.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,30.0748
