Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(-0.6/ 1.0/ -1.7), (-1.1/ 1.1/ -1.6), (-0.7/ 0.1/ -1.4), (-0.7/ 0.1/ -1.6), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.6069
Sad,(-0.6/ 1.0/ -1.7), (-1.1/ 1.1/ -1.6), (-0.7/ 0.1/ -1.4), (-0.7/ 0.1/ -1.6), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.95399
Sad,(-0.6/ 1.0/ -1.7), (-1.0/ 1.1/ -1.7), (-0.7/ 0.1/ -1.4), (-0.7/ 0.1/ -1.6), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,82.67855
Sad,(-0.6/ 1.0/ -1.7), (-1.0/ 1.1/ -1.7), (-0.7/ 0.1/ -1.4), (-0.7/ 0.1/ -1.6), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.92387
Sad,(-0.6/ 1.0/ -1.7), (-1.0/ 1.1/ -1.7), (-0.7/ 0.1/ -1.4), (-0.7/ 0.1/ -1.6), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.74305
Sad,(-0.5/ 1.0/ -1.7), (-0.9/ 1.1/ -1.7), (-0.7/ 0.1/ -1.4), (-0.7/ 0.1/ -1.6), (-0.6/ 1.5/ -1.5), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,81.63673
Sad,(-0.5/ 1.0/ -1.8), (-0.9/ 1.0/ -1.8), (-0.7/ 0.1/ -1.4), (-0.5/ 0.1/ -1.9), (-0.6/ 1.5/ -1.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,88.79292
Sad,(-0.5/ 1.0/ -1.9), (-0.8/ 1.0/ -2.0), (-0.7/ 0.1/ -1.6), (-0.5/ 0.1/ -1.9), (-0.6/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,97.65442
Sad,(-0.4/ 1.0/ -2.0), (-0.7/ 1.0/ -2.0), (-0.5/ 0.1/ -1.9), (-0.5/ 0.1/ -1.9), (-0.5/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,105.8064
Sad,(-0.3/ 1.0/ -2.1), (-0.6/ 1.1/ -2.1), (-0.5/ 0.1/ -1.9), (-0.5/ 0.1/ -2.0), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.4941
Sad,(-0.3/ 1.0/ -2.2), (-0.6/ 1.1/ -2.1), (-0.5/ 0.1/ -1.9), (-0.5/ 0.1/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,112.6242
Sad,(-0.3/ 1.0/ -2.1), (-0.5/ 1.1/ -2.1), (-0.5/ 0.1/ -1.9), (-0.5/ 0.2/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,110.5273
Sad,(-0.3/ 1.0/ -2.1), (-0.5/ 1.1/ -2.1), (-0.5/ 0.1/ -1.9), (-0.5/ 0.2/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.7305
Sad,(-0.3/ 1.0/ -2.1), (-0.5/ 1.1/ -2.1), (-0.5/ 0.1/ -1.9), (-0.5/ 0.2/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,109.498
Sad,(-0.3/ 1.0/ -2.1), (-0.5/ 1.1/ -2.0), (-0.5/ 0.1/ -1.9), (-0.5/ 0.2/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.9169
Sad,(-0.3/ 1.0/ -2.1), (-0.5/ 1.1/ -2.0), (-0.5/ 0.1/ -1.9), (-0.5/ 0.2/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.6699
Sad,(-0.3/ 1.0/ -2.1), (-0.5/ 1.1/ -2.0), (-0.5/ 0.1/ -1.9), (-0.5/ 0.2/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.4335
Sad,(-0.3/ 1.0/ -2.1), (-0.5/ 1.1/ -2.0), (-0.5/ 0.1/ -1.9), (-0.6/ 0.2/ -2.1), (-0.3/ 1.5/ -2.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,108.3967
Sad,(-0.4/ 1.0/ -2.1), (-0.6/ 1.2/ -2.2), (-0.5/ 0.1/ -1.9), (-0.5/ 0.2/ -1.8), (-0.4/ 1.5/ -1.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,107.6717
Sad,(-0.5/ 1.0/ -2.0), (-0.7/ 1.2/ -2.1), (-0.5/ 0.1/ -1.9), (-0.5/ 0.1/ -1.8), (-0.6/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,103.8083
Sad,(-0.5/ 1.0/ -1.9), (-0.7/ 1.1/ -1.9), (-0.3/ 0.1/ -1.6), (-0.5/ 0.1/ -1.8), (-0.5/ 1.5/ -1.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.59914
Sad,(-0.3/ 1.0/ -1.9), (-0.6/ 1.1/ -1.9), (-0.3/ 0.1/ -1.6), (-0.5/ 0.1/ -1.8), (-0.3/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,94.59383
Sad,(-0.2/ 1.0/ -1.8), (-0.5/ 1.1/ -1.9), (-0.3/ 0.1/ -1.6), (-0.4/ 0.1/ -1.8), (-0.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,93.05583
Sad,(-0.2/ 1.0/ -1.8), (-0.4/ 1.1/ -1.8), (-0.3/ 0.1/ -1.6), (-0.5/ 0.2/ -1.7), (-0.2/ 1.5/ -1.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,89.61691
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Tiempo en resolver la situación: 42,82 segundos

Entre el comienzo de la clase y el desarrollo de la situación crítica el tono de voz se vio modificado un 0 %
Se ha reconocido: Por favor
