Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Sad,(0.6/ 1.0/ -0.8), (0.4/ 0.9/ -0.8), (0.5/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.3/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,29.23689
Sad,(0.7/ 1.0/ -0.6), (0.4/ 0.9/ -0.8), (0.5/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.4/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.53102
Sad,(0.7/ 1.0/ -0.6), (0.4/ 0.9/ -0.8), (0.5/ 0.1/ -0.7), (0.3/ 0.1/ -0.7), (0.4/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.5526
Sad,(0.7/ 1.0/ -0.6), (0.5/ 0.9/ -0.8), (0.5/ 0.1/ -0.7), (0.3/ 0.1/ -0.6), (0.4/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.60078
Sad,(0.8/ 1.0/ -0.7), (0.5/ 0.9/ -0.8), (0.5/ 0.1/ -0.7), (0.4/ 0.1/ -0.6), (0.5/ 1.5/ -0.8), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,31.61065
Sad,(0.8/ 1.0/ -0.7), (0.6/ 0.9/ -0.7), (0.5/ 0.1/ -0.7), (0.6/ 0.1/ -0.7), (0.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,28.12557
Sad,(0.4/ 1.2/ -1.1), (0.7/ 0.9/ -0.7), (0.7/ 0.1/ -0.9), (0.6/ 0.1/ -0.7), (0.5/ 1.5/ -0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,32.98409
Sad,(0.5/ 1.1/ -1.1), (0.7/ 0.9/ -0.9), (0.8/ 0.1/ -0.9), (0.6/ 0.1/ -0.7), (0.6/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.92662
Sad,(0.6/ 1.1/ -1.0), (0.8/ 0.9/ -1.0), (0.7/ 0.1/ -0.9), (0.6/ 0.1/ -0.8), (0.6/ 1.5/ -1.0), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.32206
Sad,(0.5/ 1.2/ -1.0), (0.8/ 0.9/ -0.9), (0.8/ 0.1/ -0.9), (0.7/ 0.1/ -0.8), (0.7/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.52666
Sad,(0.5/ 1.2/ -1.0), (0.8/ 0.9/ -0.9), (0.8/ 0.1/ -0.9), (0.7/ 0.1/ -0.8), (0.7/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.07774
Sad,(0.5/ 1.2/ -1.0), (0.8/ 0.9/ -0.9), (0.8/ 0.1/ -0.9), (0.7/ 0.1/ -0.8), (0.7/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.09217
Sad,(0.5/ 1.2/ -1.0), (0.8/ 0.9/ -0.9), (0.8/ 0.1/ -0.9), (0.7/ 0.1/ -0.8), (0.7/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,36.20984
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Sad,(0.7/ 1.2/ -1.0), (0.9/ 0.9/ -0.9), (0.8/ 0.1/ -0.8), (0.8/ 0.1/ -0.8), (0.8/ 1.5/ -0.9), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,38.07758
