Emocion, Mano Izquierda, Mano Derecha, Pierna Izquierda, Pierna Derecha, Cabeza, Direccion de vista, Apertura mano Izq, Apertura mano Der,Distancia,
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.7), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.93388
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.7), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.9473
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.15255
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.35109
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.36907
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.88714
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.04131
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.7762
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.73003
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.4/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.67585
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,52.95084
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.28933
--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------,--------------------,-------------
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.3563
Disgusted,(0.5/ 1.1/ 0.2), (0.1/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.6), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.34801
Disgusted,(0.5/ 1.1/ 0.2), (0.2/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.6/ 0.1/ 0.9), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.39716
Disgusted,(0.5/ 1.1/ 0.2), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.52834
Disgusted,(0.5/ 1.1/ 0.2), (0.2/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.43542
Disgusted,(0.5/ 1.1/ 0.3), (0.2/ 1.1/ 0.6), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.58986
Disgusted,(0.6/ 1.1/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.75225
Disgusted,(0.6/ 1.1/ 0.2), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.24076
Disgusted,(0.6/ 1.1/ 0.2), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.11606
Disgusted,(0.6/ 1.1/ 0.2), (0.2/ 1.2/ 0.4), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.3283
Disgusted,(0.6/ 1.1/ 0.2), (0.2/ 1.2/ 0.4), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 0.9), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.44667
Disgusted,(0.6/ 1.1/ 0.2), (0.2/ 1.2/ 0.4), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.41263
Disgusted,(0.6/ 1.1/ 0.2), (0.2/ 1.2/ 0.4), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.54807
Disgusted,(0.6/ 1.1/ 0.2), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.08603
Disgusted,(0.6/ 1.1/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.40909
Disgusted,(0.6/ 1.2/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,53.95206
Disgusted,(0.6/ 1.2/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.14169
Disgusted,(0.6/ 1.1/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.23788
Disgusted,(0.6/ 1.1/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.4/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.34735
Disgusted,(0.6/ 1.2/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.53062
Disgusted,(0.6/ 1.2/ 0.3), (0.2/ 1.1/ 0.5), (0.6/ 0.1/ 0.5), (0.7/ 0.1/ 1.0), (0.6/ 1.5/ 0.7), (0.0/ 0.0/ 0.0), 0.3333333, 0.3333333,54.69537
